City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,13.74,68,100,2.84,AU,1691723043
1,edinburgh of the seven seas,-37.0676,-12.3116,12.14,70,97,12.43,SH,1691723043
2,afaahiti,-17.75,-149.2833,25.59,69,100,8.53,PF,1691723043
3,port-aux-francais,-49.35,70.2167,3.28,77,44,16.48,TF,1691723044
4,utrik,11.2278,169.8474,28.29,76,10,6.25,MH,1691723044
5,college,64.8569,-147.8028,22.34,85,100,3.09,US,1691723044
6,kirkwall,58.9848,-2.9587,14.03,94,75,6.17,GB,1691723044
7,sabang,5.8933,95.3214,28.04,77,57,5.5,ID,1691723045
8,waitangi,-43.9535,-176.5597,11.57,87,100,2.68,NZ,1691723045
9,slave lake,55.2834,-114.769,14.99,94,100,8.75,CA,1691723046
10,stanley,54.868,-1.6985,18.17,91,75,0.0,GB,1691723046
11,saipan,15.1355,145.701,28.39,100,75,6.69,MP,1691723046
12,chonchi,-42.6128,-73.8092,4.51,94,52,2.07,CL,1691723046
13,gemena,3.25,19.7667,21.46,98,94,1.11,CD,1691723047
14,fyodorovka,53.6314,62.7078,15.25,68,11,4.74,KZ,1691723047
15,bilibino,68.0546,166.4372,14.85,61,98,1.52,RU,1691723047
16,merizo village,13.2658,144.6691,28.31,93,100,9.58,GU,1691723047
17,invercargill,-46.4,168.35,9.45,74,89,1.79,NZ,1691723047
18,thompson,55.7435,-97.8558,15.09,67,100,1.03,CA,1691723047
19,iqaluit,63.7506,-68.5145,3.85,100,100,2.06,CA,1691722814
20,west island,-12.1568,96.8225,26.99,78,100,6.69,CC,1691723048
21,ushuaia,-54.8,-68.3,1.81,87,75,1.54,AR,1691722924
22,vernon,50.2581,-119.2691,24.74,46,75,0.51,CA,1691723048
23,acarau,-2.8856,-40.12,25.07,87,12,6.01,BR,1691723049
24,mukalla,14.5425,49.1242,28.68,72,78,2.23,YE,1691723049
25,sirte,31.2089,16.5887,24.83,68,0,3.4,LY,1691723049
26,namdrik,5.5994,168.1028,27.12,80,100,4.76,MH,1691723049
27,iskateley,67.6803,53.1512,14.8,66,6,1.49,RU,1691723050
28,callao,-12.0667,-77.15,20.4,77,100,5.14,PE,1691723050
29,bikenibeu village,1.3673,173.1241,27.98,89,40,1.03,KI,1691723050
30,masterton,-40.9597,175.6575,11.05,67,26,3.76,NZ,1691723050
31,rio gallegos,-51.6226,-69.2181,2.03,75,0,5.66,AR,1691723051
32,lebu,-37.6167,-73.65,8.82,74,100,3.12,CL,1691723051
33,i-n-salah,27.1935,2.4607,32.52,15,0,4.09,DZ,1691723051
34,yellowknife,62.456,-114.3525,20.29,45,100,2.06,CA,1691722888
35,udachny,66.4167,112.4,20.26,62,100,3.59,RU,1691723052
36,ar rahad,12.7167,30.65,24.98,78,100,2.12,SD,1691723052
37,'ain el hadjar,34.7585,0.1453,22.63,42,0,0.74,DZ,1691723052
38,mount isa,-20.7333,139.5,25.87,24,4,4.12,AU,1691722864
39,tiksi,71.6872,128.8694,20.45,36,9,5.57,RU,1691723053
40,nemuro,43.3236,145.575,21.32,91,100,6.61,JP,1691723053
41,whitehorse,60.7161,-135.0538,17.83,73,75,1.03,CA,1691723053
42,nova sintra,14.8667,-24.7167,22.35,75,34,4.8,CV,1691723054
43,luderitz,-26.6481,15.1594,17.91,61,72,1.38,NA,1691723054
44,praia,14.9215,-23.5087,25.3,78,20,3.09,CV,1691723054
45,bethel,41.3712,-73.414,20.5,87,75,0.45,US,1691723055
46,knyaze-volkonskoye,48.4642,135.4567,22.19,78,100,3.55,RU,1691723055
47,saurimo,-9.6608,20.3916,15.8,39,12,2.58,AO,1691723055
48,hamilton,39.1834,-84.5333,22.69,86,0,2.57,US,1691723055
49,hadibu,12.65,54.0333,25.61,81,88,8.18,YE,1691723056
50,keetmanshoop,-26.5833,18.1333,16.51,27,62,5.14,NA,1691723056
51,isafjordur,66.0755,-23.124,6.59,92,77,4.65,IS,1691723056
52,badger,64.8,-147.5333,22.3,80,75,3.09,US,1691723057
53,upington,-28.4478,21.2561,9.21,49,0,2.57,ZA,1691723057
54,adrar,20.5022,-10.0711,33.3,25,80,4.02,MR,1691722942
55,wailua homesteads,22.0669,-159.378,29.24,71,0,6.17,US,1691723057
56,al kharijah,25.4514,30.5464,28.03,30,0,4.96,EG,1691723058
57,ribeira grande,38.5167,-28.7,20.99,88,0,2.68,PT,1691723058
58,walvis bay,-22.9575,14.5053,13.53,94,61,4.63,NA,1691723058
59,petauke,-14.2426,31.3253,13.92,81,84,5.18,ZM,1691723058
60,adamstown,-25.066,-130.1015,18.47,57,35,11.12,PN,1691723059
61,dobryanka,58.4619,56.4165,16.8,67,34,1.04,RU,1691722797
62,sarkand,45.41,79.9186,27.48,38,66,1.67,KZ,1691723059
63,jamestown,42.097,-79.2353,19.77,92,100,7.2,US,1691722841
64,puerto madero,14.7208,-92.4215,28.11,100,20,0.0,MX,1691723060
65,bardai,11.65,7.2333,20.83,95,100,3.09,NG,1691723060
66,colonia,50.9333,6.95,16.59,81,0,1.03,DE,1691723025
67,ilmajoki,62.7333,22.5667,13.31,90,0,5.14,FI,1691723060
68,papatowai,-46.5619,169.4708,7.29,82,99,2.21,NZ,1691723060
69,anshun,26.25,105.9333,25.52,73,57,1.32,CN,1691723061
70,lazaro cardenas,17.9583,-102.2,27.98,78,18,2.33,MX,1691723061
71,piano di sorrento,40.631,14.416,22.46,74,7,1.11,IT,1691723061
72,balabac,7.9868,117.0645,29.87,70,26,6.56,PH,1691723061
73,sinabang,2.4803,96.3801,27.7,76,94,0.73,ID,1691723062
74,belmonte,-15.8631,-38.8828,21.78,84,74,2.25,BR,1691723062
75,olonkinbyen,70.9221,-8.7187,6.32,99,97,2.34,SJ,1691723062
76,cidreira,-30.1811,-50.2056,17.5,97,77,6.09,BR,1691723062
77,khunti,23.0833,85.2833,28.06,69,100,2.46,IN,1691723063
78,phan rang-thap cham,11.5667,108.9833,35.16,45,4,2.98,VN,1691723063
79,manaure,11.7751,-72.4445,29.29,71,87,5.12,CO,1691723063
80,kiruna,67.8557,20.2251,9.51,93,20,2.57,SE,1691723064
81,lienz,46.8289,12.769,13.83,92,3,2.04,AT,1691722907
82,belokurikha,51.9959,84.9896,21.35,70,97,1.83,RU,1691723064
83,puerto aysen,-45.4,-72.7,1.86,97,89,2.32,CL,1691723064
84,grytviken,-54.2811,-36.5092,0.37,97,100,5.52,GS,1691723065
